0,34,60,58,46,131,131
1,127,15,163,33,103,103
2,103,1,119,4,106,106
3,229,224,219,51,100,100
4,43,103,106,10,11,11
5,17,54,7,55,103,103
6,104,185,18,220,88,88
7,54,55,5,83,17,17
8,103,76,106,1,2,2
9,105,78,70,104,99,99
10,95,57,84,103,39,39
11,10,103,4,57,39,39
12,57,45,58,141,10,10
13,226,91,31,215,113,113
14,95,170,125,234,10,10
15,1,163,127,33,21,21
16,156,202,237,209,138,138
17,5,54,55,7,10,10
18,6,185,104,190,78,78
19,41,158,157,195,138,138
20,38,67,71,232,82,82
21,39,163,33,84,30,30
22,48,71,126,215,36,36
23,237,170,14,66,95,95
24,61,32,30,164,215,215
25,210,151,61,147,174,174
26,77,27,154,88,22,22
27,26,77,46,22,51,51
28,226,76,94,232,126,126
29,121,83,7,38,63,63
30,21,110,24,39,84,84
31,37,113,109,181,40,40
32,24,215,61,30,164,164
33,163,21,39,71,1,1
34,164,42,56,60,84,84
35,74,161,215,32,190,190
36,76,48,232,22,38,38
37,109,31,113,181,40,40
38,121,82,20,83,36,36
39,21,163,84,33,57,57
40,113,126,31,215,24,24
41,19,158,157,138,233,233
42,164,56,84,34,45,45
43,4,72,66,106,119,119
44,50,49,132,196,207,207
45,84,164,60,42,39,39
46,27,77,34,182,0,0
47,201,92,161,182,88,88
48,22,36,126,113,40,40
49,132,50,44,107,194,194
50,44,49,155,132,194,194
51,3,27,26,77,20,20
52,132,117,107,49,194,194
53,79,130,111,81,166,166
54,7,55,5,17,164,164
55,56,164,54,237,42,42
56,164,55,42,34,65,65
57,39,10,84,71,21,21
58,34,71,12,84,57,57
59,22,36,221,71,48,48
60,45,34,164,84,152,152
61,24,139,191,32,147,147
62,119,95,2,14,80,80
63,183,167,121,168,188,188
64,237,189,23,86,16,16
65,164,56,42,55,82,82
66,72,124,43,4,112,112
67,103,71,20,84,57,57
68,152,217,192,168,126,126
69,193,212,211,218,223,223
70,105,78,9,104,99,99
71,84,39,163,21,33,33
72,66,124,43,112,101,101
73,89,80,136,134,87,87
74,35,190,161,215,225,225
75,88,34,227,32,220,220
76,36,103,28,8,232,232
77,26,27,88,46,98,98
78,105,70,99,104,9,9
79,53,130,111,81,166,166
80,73,89,134,136,197,197
